class,parents_great_pret,parents_pretentious,parents_usual,has_nurs_critical,has_nurs_improper,has_nurs_less_proper,has_nurs_proper,has_nurs_very_crit,form_complete,form_completed,form_foster,form_incomplete,children_1,children_2,children_3,children_more,housing_convenient,housing_critical,housing_less_conv,finance_convenient,finance_inconv,social_nonprob,social_problematic,social_slightly_prob,health_not_recom,health_priority,health_recommended
2,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True
1,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False
2,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True
1,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False
0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False
1,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True
1,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False
0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False
4,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True
1,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False
0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False
4,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True
1,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False
0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False
1,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True
1,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False
0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False
4,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,True
